Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
เติมเกม,4686,3.6719840478564305,482166,0.34996976212874614,0.009718644616169536,2.460806440945205,2.7496049078533122,-0.0998400674904841
ช้อปปิ้ง,4642,-0.3474838346921563,16009,-0.2100562518503898,0.2899618964332563,-0.1739713532307601,1.0282965831719657,-0.00342123501683061
ช้อปปี้,3700,-0.319101950680898,6474,-0.32674708818635606,0.5715168365770775,0.011355520891640958,1.0307383379672537,-0.001854999205124823
ชอปปี้,3098,-0.34406097819182724,5518,-0.35393981969324434,0.5614353026458861,0.015290899830301448,1.0262776368249367,0.00463464711997522
ไหว้แม่ย่านางรถ,2022,11.107784431137725,104876,20.668595041322313,0.019279911514550517,-0.44122891179386525,8.077510583927687,-0.017290017690722196
หนังโป๊,1998,3.6682242990654204,34024,1.2559342262299429,0.05872325417352457,1.0693086902922841,1.3854338114272278,-0.6115355789483826
ช็อปปี้,1946,-0.2625994694960212,3550,-0.27904142973192525,0.548169014084507,0.02280569357791313,1.0230985915492958,-0.009294500533189249
ฤกษ์แต่งงาน 2564,1351,-0.19004796163069546,7283,0.17905131941071717,0.1855004805711932,-0.3130476807624338,2.4805711931896197,0.6472251408656504
เสื้อovp,1295,-0.37379110251450676,16980,-0.2232387923147301,0.07626619552414605,-0.19382058309582553,1.0005889281507656,0.00013141149408934084
บทสวดอิติปิโส,1217,-0.08907185628742514,8213,-0.00424345295829292,0.14817971508583952,-0.08518990267364944,1.777060757335931,0.2859446505094541
สวดมนต์ก่อนนอน,1190,-0.03565640194489465,24786,-0.015608244966043131,0.04801097393689986,-0.02036603504278631,7.112402162511095,0.02248522110175484
ฝันว่าตัดผมสั้น,1087,0.04519230769230769,6669,0.30559906029757244,0.16299295246663667,-0.19945384500040372,2.476833108412056,0.16777400016326202
ห้นยำำ,1082,-0.3050738599871548,2168,-0.25956284153005466,0.49907749077490776,-0.061465065517707265,1.0415129151291513,0.037614772200801345
กระชายขาวสกัด,1072,6.052631578947368,4577,7.3369763205828775,0.23421455101594932,-0.1540540229752883,2.463185492680795,-0.18487713352516189
